ts,symbol,last_price
1767631445672,DOGEUSDT,0.15021
1767631445891,SOLUSDT,135.41
1767631446117,BTCUSDT,93786
1767631446129,ETHUSDT,3182.5
1767631446201,BNBUSDT,905.51
1767631446401,ADAUSDT,0.4136
1767631446411,XRPUSDT,2.1845
1767631446670,DOGEUSDT,0.15021
1767631446891,SOLUSDT,135.41
1767631447066,DOTUSDT,2.183
1767631447117,BTCUSDT,93786
1767631447128,ETHUSDT,3182.65
1767631447200,BNBUSDT,905.51
1767631447291,LTCUSDT,83.03
1767631447400,ADAUSDT,0.4136
1767631447413,XRPUSDT,2.1847
1767631447671,DOGEUSDT,0.15019
1767631447891,SOLUSDT,135.4
1767631448066,DOTUSDT,2.183
1767631448118,BTCUSDT,93786
1767631448129,ETHUSDT,3182.5
1767631448200,BNBUSDT,905.51
1767631448291,LTCUSDT,83.04
1767631448401,ADAUSDT,0.4136
1767631448413,XRPUSDT,2.1845
1767631448670,DOGEUSDT,0.15029
1767631448903,SOLUSDT,135.41
1767631449065,DOTUSDT,2.184
1767631449118,BTCUSDT,93786
1767631449129,ETHUSDT,3182.51
1767631449199,BNBUSDT,905.51
1767631449292,LTCUSDT,83.04
1767631449399,ADAUSDT,0.4136
1767631449409,XRPUSDT,2.1846
1767631449670,DOGEUSDT,0.15028
1767631449887,SOLUSDT,135.41
1767631450066,DOTUSDT,2.184
1767631450119,BTCUSDT,93786
1767631450119,ETHUSDT,3182.51
1767631450201,BNBUSDT,905.51
1767631450293,LTCUSDT,83.04
1767631450403,ADAUSDT,0.4136
